season,week,elim_count,rank_eliminated,percent_eliminated,rank_bottom_two,percent_bottom_two,rank_judge_save_elim,percent_judge_save_elim,actual_eliminated
25,6,1,Nick Lachey,Nick Lachey,Nick Lachey|Victoria Arlen,Nick Lachey|Victoria Arlen,Nick Lachey,Nick Lachey,Sasha Pieterse
25,7,1,Nikki Bella,Nikki Bella,Nikki Bella|Vanessa Lachey,Nikki Bella|Vanessa Lachey,Nikki Bella,Nikki Bella,Nick Lachey
25,8,2,Terrell Owens|Victoria Arlen,Terrell Owens|Victoria Arlen,Terrell Owens|Victoria Arlen,Terrell Owens|Victoria Arlen,,,Nikki Bella|Vanessa Lachey
25,9,1,Victoria Arlen,Victoria Arlen,Victoria Arlen|Frankie Muniz,Victoria Arlen|Frankie Muniz,Frankie Muniz,Frankie Muniz,Terrell Owens
26,2,2,Kareem Abdul-Jabbar|Arike Ogunbowale,Kareem Abdul-Jabbar|Arike Ogunbowale,Kareem Abdul-Jabbar|Arike Ogunbowale,Kareem Abdul-Jabbar|Arike Ogunbowale,,,Jamie Anderson|Johnny Damon
26,3,2,Chris Mazdzer|Jennie Finch Daigle,Jennie Finch Daigle|Mirai Nagasu,Chris Mazdzer|Jennie Finch Daigle,Jennie Finch Daigle|Mirai Nagasu,,,Arike Ogunbowale|Kareem Abdul-Jabbar
27,2,1,Danelle Umstead,Danelle Umstead,Danelle Umstead|DeMarcus Ware,Danelle Umstead|Joe Amabile,Danelle Umstead,Joe Amabile,Nikki Glaser
27,3,1,Nancy McKeon,Nancy McKeon,Nancy McKeon|DeMarcus Ware,Nancy McKeon|John Schneider,Nancy McKeon,John Schneider,Danelle Umstead
27,4,1,Juan Pablo Di Pace,Tinashe,Juan Pablo Di Pace|Tinashe,Tinashe|DeMarcus Ware,Juan Pablo Di Pace,DeMarcus Ware,Nancy McKeon
27,5,1,Evanna Lynch,Bobby Bones,Evanna Lynch|Milo Manheim,Bobby Bones|Evanna Lynch,Evanna Lynch,Bobby Bones,Tinashe
27,7,1,DeMarcus Ware,DeMarcus Ware,DeMarcus Ware|John Schneider,DeMarcus Ware|John Schneider,DeMarcus Ware,DeMarcus Ware,Mary Lou Retton
27,8,2,Joe Amabile|Bobby Bones,Joe Amabile|Juan Pablo Di Pace,Joe Amabile|Bobby Bones,Joe Amabile|Juan Pablo Di Pace,,,DeMarcus Ware|John Schneider
28,3,2,Karamo Brown|Kel Mitchell,Karamo Brown|Sean Spicer,Karamo Brown|Kel Mitchell,Karamo Brown|Sean Spicer,,,Mary Wilson|Ray Lewis
28,5,1,Karamo Brown,Karamo Brown,Karamo Brown|Lauren Alaina,Karamo Brown|Lauren Alaina,Karamo Brown,Karamo Brown,Lamar Odom
28,7,1,Karamo Brown,Karamo Brown,Karamo Brown|James Van Der Beek,Karamo Brown|James Van Der Beek,Karamo Brown,Karamo Brown,Sailor Brinkley-Cook
28,8,1,Kate Flannery,Kate Flannery,Kate Flannery|Ally Brooke,Kate Flannery|James Van Der Beek,Kate Flannery,Kate Flannery,Karamo Brown
28,9,1,James Van Der Beek,James Van Der Beek,James Van Der Beek|Sean Spicer,James Van Der Beek|Sean Spicer,Sean Spicer,Sean Spicer,Kate Flannery
28,10,1,James Van Der Beek,James Van Der Beek,James Van Der Beek|Ally Brooke,James Van Der Beek|Ally Brooke,James Van Der Beek,James Van Der Beek,Sean Spicer
29,3,1,Carole Baskin,Carole Baskin,Carole Baskin|Jesse Metcalfe,Carole Baskin|Anne Heche,Carole Baskin,Carole Baskin,Charles Oakley
29,4,1,Anne Heche,Anne Heche,Anne Heche|Nev Schulman,Anne Heche|Chrishell Stause,Anne Heche,Anne Heche,Carole Baskin
29,5,1,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe|Chrishell Stause,Jesse Metcalfe|Chrishell Stause,Chrishell Stause,Chrishell Stause,Anne Heche
29,6,1,Veron Davis,Veron Davis,Veron Davis|Johnny Weir,Veron Davis|Kaitlyn Bristowe,Veron Davis,Veron Davis,Jesse Metcalfe
29,7,1,Monica Aldama,Monica Aldama,Monica Aldama|Jeannie Mai,Monica Aldama|Jeannie Mai,Monica Aldama,Monica Aldama,Veron Davis
29,8,2,Chrishell Stause|AJ McLean,Chrishell Stause|Nev Schulman,Chrishell Stause|AJ McLean,Chrishell Stause|Nev Schulman,,,Jeannie Mai|Monica Aldama
29,9,1,AJ McLean,AJ McLean,AJ McLean|Nev Schulman,AJ McLean|Nev Schulman,AJ McLean,AJ McLean,Chrishell Stause
29,10,1,Johnny Weir,Johnny Weir,Johnny Weir|Skai Jackson,Johnny Weir|Nev Schulman,Johnny Weir,Johnny Weir,AJ McLean
30,3,1,Christine Chiu,Christine Chiu,Christine Chiu|Suni Lee,Christine Chiu|Suni Lee,Christine Chiu,Christine Chiu,Martin Kove
30,4,1,Brian Austin Green,Brian Austin Green,Brian Austin Green|Matt James,Brian Austin Green|Matt James,Brian Austin Green,Brian Austin Green,Christine Chiu
30,5,2,Melanie C|Melora Hardin,Melanie C|Melora Hardin,Melanie C|Melora Hardin,Melanie C|Melora Hardin,,,Brian Austin Green|Matt James
30,6,1,Kenya Moore,Kenya Moore,Kenya Moore|Suni Lee,Kenya Moore|Suni Lee,Kenya Moore,Kenya Moore,Melanie C
30,7,1,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin|Amanda Kloots","Mike ""The Miz"" Mizanin|Amanda Kloots","Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",Kenya Moore
30,8,1,Olivia Jade,Olivia Jade,Olivia Jade|Jimmie Allen,Olivia Jade|Jimmie Allen,Jimmie Allen,Jimmie Allen,"Mike ""The Miz"" Mizanin"
30,9,2,Melora Hardin|Suni Lee,Suni Lee|Melora Hardin,Melora Hardin|Suni Lee,Suni Lee|Melora Hardin,,,Jimmie Allen|Olivia Jade
31,2,1,Teresa Giudice,Teresa Giudice,Teresa Giudice|Jordin Sparks,Teresa Giudice|Joseph Baena,Teresa Giudice,Teresa Giudice,Jason Lewis
31,3,1,Cheryl Ladd,Cheryl Ladd,Cheryl Ladd|Selma Blair,Cheryl Ladd|Selma Blair,Cheryl Ladd,Cheryl Ladd,Teresa Giudice
31,4,1,Sam Champion,Sam Champion,Sam Champion|Daniel Durant,Sam Champion|Daniel Durant,Sam Champion,Sam Champion,Cheryl Ladd
31,5,1,Joseph Baena,Selma Blair,Joseph Baena|Selma Blair,Selma Blair|Joseph Baena,Joseph Baena,Joseph Baena,Sam Champion
31,6,2,Jessie James Decker|Wayne Brady,Jessie James Decker|Gabby Windey,Jessie James Decker|Wayne Brady,Jessie James Decker|Gabby Windey,,,Joseph Baena|Selma Blair
31,7,1,Jordin Sparks,Jordin Sparks,Jordin Sparks|Gabby Windey,Jordin Sparks|Charli D'Amelio,Jordin Sparks,Jordin Sparks,Jessie James Decker
31,8,1,Heidi D'Amelio,Heidi D'Amelio,Heidi D'Amelio|Vinny Guadagnino,Heidi D'Amelio|Charli D'Amelio,Vinny Guadagnino,Heidi D'Amelio,Jordin Sparks
31,9,2,Daniel Durant|Trevor Donovan,Charli D'Amelio|Daniel Durant,Daniel Durant|Trevor Donovan,Charli D'Amelio|Daniel Durant,,,Heidi D'Amelio|Vinny Guadagnino
32,2,1,Jamie Lynn Spears,Jamie Lynn Spears,Jamie Lynn Spears|Lele Pons,Jamie Lynn Spears|Adrian Peterson,Jamie Lynn Spears,Adrian Peterson,Matt Walsh
32,3,1,Tyson Beckford,Tyson Beckford,Tyson Beckford|Lele Pons,Tyson Beckford|Lele Pons,Tyson Beckford,Tyson Beckford,Jamie Lynn Spears
32,4,1,Adrian Peterson,Adrian Peterson,Adrian Peterson|Lele Pons,Adrian Peterson|Lele Pons,Adrian Peterson,Adrian Peterson,Tyson Beckford
32,5,1,Mira Sorvino,Mira Sorvino,Mira Sorvino|Harry Jowsey,Mira Sorvino|Ariana Madix,Harry Jowsey,Mira Sorvino,Adrian Peterson
32,6,1,Mauricio Umansky,Mauricio Umansky,Mauricio Umansky|Alyson Hannigan,Mauricio Umansky|Jason Mraz,Alyson Hannigan,Mauricio Umansky,Mira Sorvino
32,7,1,Lele Pons,Lele Pons,Lele Pons|Barry Williams,Lele Pons|Xochitl Gomez,Barry Williams,Lele Pons,Mauricio Umansky
32,8,1,Barry Williams,Barry Williams,Barry Williams|Jason Mraz,Barry Williams|Xochitl Gomez,Jason Mraz,Barry Williams,Lele Pons
32,9,1,Ariana Madix,Xochitl Gomez,Ariana Madix|Harry Jowsey,Xochitl Gomez|Ariana Madix,Harry Jowsey,Ariana Madix,Barry Williams
32,10,1,Ariana Madix,Xochitl Gomez,Ariana Madix|Alyson Hannigan,Xochitl Gomez|Ariana Madix,Alyson Hannigan,Ariana Madix,Harry Jowsey
33,8,1,Danny Amendola,Joey Graziadei,Danny Amendola|Joey Graziadei,Joey Graziadei|Chandler Kinney,Danny Amendola,Chandler Kinney,Dwight Howard
34,3,2,Lauren Jauregui|Elaine Hendrix,Lauren Jauregui|Elaine Hendrix,Lauren Jauregui|Elaine Hendrix,Lauren Jauregui|Elaine Hendrix,,,Baron Davis|Corey Feldman
34,4,1,Hilaria Baldwin,Hilaria Baldwin,Hilaria Baldwin|Elaine Hendrix,Hilaria Baldwin|Elaine Hendrix,Hilaria Baldwin,Hilaria Baldwin,Lauren Jauregui
34,5,1,Elaine Hendrix,Elaine Hendrix,Elaine Hendrix|Jen Affleck,Elaine Hendrix|Whitney Leavitt,Jen Affleck,Elaine Hendrix,Hilaria Baldwin
34,7,1,Jen Affleck,Jen Affleck,Jen Affleck|Elaine Hendrix,Jen Affleck|Jordan Chiles,Elaine Hendrix,Jen Affleck,Scott Hoying
34,8,1,Danielle Fishel,Danielle Fishel,Danielle Fishel|Andy Richter,Danielle Fishel|Whitney Leavitt,Andy Richter,Danielle Fishel,Jen Affleck
34,9,1,Andy Richter,Andy Richter,Andy Richter|Alix Earle,Andy Richter|Whitney Leavitt,Andy Richter,Andy Richter,Danielle Fishel
34,10,1,Whitney Leavitt,Whitney Leavitt,Whitney Leavitt|Jordan Chiles,Whitney Leavitt|Alix Earle,Jordan Chiles,Alix Earle,Andy Richter
